,err_prob,n_checks,Encoded blocks, source block size, encoded block size,Decoded blocks,valid blocks,Average iterations, bit changes %, Decoding time (milli-seconds),Block counts tot, with chk errs, with src errs, both,Bit error rate (on message bits only),1-BLER,shannon,real_key,eff_key
28,0.03,150,470.0,850.0,1000.0,470.0,1.0,249.5,0.0,7.723,470.0,469.0,469.0,469.0,0.03009,0.002127659574468085,0.1943918578315762,0.6556081421684238,0.0013949109407838803
29,0.03,175,484.0,825.0,1000.0,484.0,13.0,243.9,0.0,7.573,484.0,471.0,471.0,471.0,0.0282,0.026859504132231406,0.1943918578315762,0.6306081421684238,0.016937822000391546
30,0.03,200,500.0,800.0,1000.0,500.0,95.0,205.4,1.0,8.05,500.0,405.0,405.0,405.0,0.02222,0.19,0.1943918578315762,0.6056081421684238,0.11506554701200053
31,0.03,225,516.0,775.0,1000.0,516.0,243.0,138.1,2.0,7.587,516.0,273.0,273.0,273.0,0.0139,0.47093023255813954,0.1943918578315762,0.5806081421684238,0.27342592741652516
32,0.03,250,533.0,750.0,1000.0,533.0,427.0,58.0,2.0,7.803,533.0,106.0,106.0,106.0,0.005311,0.801125703564728,0.1943918578315762,0.5556081421684238,0.44511196380096996
33,0.03,275,551.0,725.0,1000.0,551.0,530.0,16.0,2.0,0.16,551.0,21.0,21.0,21.0,0.001111,0.9618874773139746,0.1943918578315762,0.5306081421684238,0.51038532731264
34,0.03,300,571.0,700.0,1000.0,571.0,567.0,7.2,2.0,1.002,571.0,4.0,4.0,4.0,0.0001551,0.9929947460595446,0.1943918578315762,0.5056081421684238,0.5020662287381721
35,0.03,325,592.0,675.0,1000.0,592.0,592.0,4.1,2.0,0.129,592.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.4806081421684238,0.4806081421684238
36,0.03,350,615.0,650.0,1000.0,615.0,613.0,4.1,2.0,0.196,615.0,2.0,2.0,2.0,0.0002852,0.9967479674796748,0.1943918578315762,0.4556081421684238,0.45412648967356717
37,0.03,375,640.0,625.0,1000.0,640.0,640.0,3.0,2.0,0.104,640.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.4306081421684238,0.4306081421684238
38,0.03,400,666.0,600.0,1000.0,666.0,666.0,2.7,2.0,0.174,666.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.4056081421684238,0.4056081421684238
39,0.03,425,695.0,575.0,1000.0,695.0,695.0,2.5,2.0,0.102,695.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.3806081421684238,0.3806081421684238
40,0.03,450,727.0,550.0,1000.0,727.0,727.0,2.3,2.0,0.082,727.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.3556081421684238,0.3556081421684238
